drug,effect,cosine_similarities
['hydroxyurea'],['cml'],"[('hydroxyurea', 'cml', np.float32(0.8799651))]"
[],['death'],"[(None, None, None)]"
[],['systemic lupus erythematosus-like disease'],"[(None, None, None)]"
['risperidone'],['td'],"[('risperidone', 'td', np.float32(0.8916414))]"
['trimethoprim-sulfamethoxazole'],"['colitis', 'pseudomembranous colitis']","[('trimethoprim-sulfamethoxazole', 'colitis', None), ('trimethoprim-sulfamethoxazole', 'pseudomembranous colitis', None)]"
['lansoprazole'],[],"[(None, None, None)]"
"['clomipramine', 'interferon beta-1a']",[],"[(None, None, None)]"
"['dwi', 'methotrexate']",['sub-acute toxic leukoencephalopathy'],"[('dwi', 'sub-acute toxic leukoencephalopathy', np.float32(0.8491214)), ('methotrexate', 'sub-acute toxic leukoencephalopathy', np.float32(0.6752415))]"
['lorazepam'],['generalized status epilepticus'],"[('lorazepam', 'generalized status epilepticus', np.float32(0.91302824))]"
['captopril'],['novo asthma'],"[('captopril', 'novo asthma', np.float32(0.8251429))]"
"['cisplatinum', 'vinblastine', 'bleomycin']",[],"[(None, None, None)]"
['clozapine'],['heatstroke'],"[('clozapine', 'heatstroke', np.float32(0.7694427))]"
['cyanamide'],"['ground-glass hepatocytes', 'septum-like liver fibrosis']","[('cyanamide', 'ground-glass hepatocytes', np.float32(0.9729512)), ('cyanamide', 'septum-like liver fibrosis', np.float32(0.7339263))]"
"['itraconazole', 'vincristine']",['neurotoxicity'],"[('itraconazole', 'neurotoxicity', np.float32(0.8486544)), ('vincristine', 'neurotoxicity', np.float32(0.8174041))]"
['clofazimine'],['enteropathy'],"[('clofazimine', 'enteropathy', np.float32(0.9762346))]"
['griseofulvin'],"['nephrotic syndrome', 'systemic lupus erythematosus']","[('griseofulvin', 'nephrotic syndrome', np.float32(0.75078785)), ('griseofulvin', 'systemic lupus erythematosus', np.float32(0.77612513))]"
['quinine'],['thrombocytopenia'],"[('quinine', 'thrombocytopenia', np.float32(0.7437007))]"
['ifosfamide'],[],"[(None, None, None)]"
"['docetaxel', 'gemcitabine']",['boop'],"[('docetaxel', 'boop', np.float32(0.9453699)), ('gemcitabine', 'boop', np.float32(0.9399611))]"
['dapsone'],[],"[(None, None, None)]"
"['cisplatin', 'etoposide']",['paroxysmal supraventricular tachycardia'],"[('cisplatin', 'paroxysmal supraventricular tachycardia', np.float32(0.63855815)), ('etoposide', 'paroxysmal supraventricular tachycardia', np.float32(0.8455761))]"
['nitrate'],"['hypotension', 'unconsciousness']","[('nitrate', 'hypotension', np.float32(0.6543413)), ('nitrate', 'unconsciousness', np.float32(0.96642697))]"
[],['liver cirrhosis'],"[(None, None, None)]"
"['fluorouracil', 'capecitabine']",[],"[(None, None, None)]"
"['methotrexate', 'mtx']",['accelerate hiv disease'],"[('methotrexate', 'accelerate hiv disease', np.float32(0.54006296)), ('mtx', 'accelerate hiv disease', np.float32(0.6588884))]"
[],['primary cns lymphoma'],"[(None, None, None)]"
['ifn-beta'],['refractory pre-patellar bursitis'],"[('ifn-beta', 'refractory pre-patellar bursitis', None)]"
['norethisterone'],"['gestational diabetes', 'impaired glucose tolerance']","[('norethisterone', 'gestational diabetes', np.float32(0.9572377)), ('norethisterone', 'impaired glucose tolerance', np.float32(0.98749924))]"
"['mirtazapine', 'citalopram']",['recurrent hyponatremia'],"[('mirtazapine', 'recurrent hyponatremia', np.float32(0.92039776)), ('citalopram', 'recurrent hyponatremia', np.float32(0.6702095))]"
['quinine'],['thrombocytopenia'],"[('quinine', 'thrombocytopenia', np.float32(0.7437007))]"
['bevacizumab'],['acute endophthalmitis'],"[('bevacizumab', 'acute endophthalmitis', np.float32(0.79267335))]"
"['cyclophosphamide', 'bleomycin']",['fibrotic lesions'],"[('cyclophosphamide', 'fibrotic lesions', np.float32(0.9310388)), ('bleomycin', 'fibrotic lesions', np.float32(0.8679401))]"
['venlafaxine'],['increased ocular pressure'],"[('venlafaxine', 'increased ocular pressure', np.float32(0.9447385))]"
['cbdca'],[],"[(None, None, None)]"
['itraconazole'],"['hepatitis', 'cytolytic hepatitis']","[('itraconazole', 'hepatitis', np.float32(0.5307959)), ('itraconazole', 'cytolytic hepatitis', np.float32(0.63668823))]"
"['carbamazepine', 'cbz']",[],"[(None, None, None)]"
"['docetaxel', 'gemcitabine']",['boop'],"[('docetaxel', 'boop', np.float32(0.9453699)), ('gemcitabine', 'boop', np.float32(0.9399611))]"
['5-fu'],['dermatologic toxicities'],"[('5-fu', 'dermatologic toxicities', None)]"
['gelofusine'],['anaphylactoid reaction'],"[('gelofusine', 'anaphylactoid reaction', np.float32(0.73014385))]"
['cyclosporine'],['reversible posterior leukoencephalopathy syndrome'],"[('cyclosporine', 'reversible posterior leukoencephalopathy syndrome', np.float32(0.8504891))]"
['bh-ac'],['reversible encephalopathy syndrome'],"[('bh-ac', 'reversible encephalopathy syndrome', None)]"
['salsalate'],['lichenoid eruption'],"[('salsalate', 'lichenoid eruption', np.float32(0.93828267))]"
['hydroxyurea'],"['thrombocythemia', 'acute myeloid leukemia']","[('hydroxyurea', 'thrombocythemia', np.float32(0.95949835)), ('hydroxyurea', 'acute myeloid leukemia', np.float32(0.75767946))]"
[],['granulocytopenia'],"[(None, None, None)]"
['minocycline'],['autoimmune hepatitis'],"[('minocycline', 'autoimmune hepatitis', np.float32(0.7608408))]"
['dofetilide'],['torsades de pointes'],"[('dofetilide', 'torsades de pointes', np.float32(0.76726675))]"
['dapsone'],[],"[(None, None, None)]"
['thiazide'],"['psoriasis', 'iatrogenic hypercalcemia']","[('thiazide', 'psoriasis', np.float32(0.85638255)), ('thiazide', 'iatrogenic hypercalcemia', np.float32(0.93097764))]"
['cyclophosphamide'],[],"[(None, None, None)]"
['cytarabine'],['visceral herpesvirus infections'],"[('cytarabine', 'visceral herpesvirus infections', np.float32(0.8608147))]"
[],['infective endocarditis'],"[(None, None, None)]"
['iron sucrose'],['systemic iron toxicity'],"[('iron sucrose', 'systemic iron toxicity', np.float32(0.8705799))]"
['ifn-alpha'],['mpgn'],"[('ifn-alpha', 'mpgn', None)]"
['enalapril'],['pemphigus'],"[('enalapril', 'pemphigus', np.float32(0.9761688))]"
[],"['hemodialysis', 'atenolol toxicity']","[(None, None, None)]"
['methysergide maleate'],['lower extremity arterial insufficiency'],"[('methysergide maleate', 'lower extremity arterial insufficiency', np.float32(0.97491026))]"
[],['hemorrhagic vasculitis'],"[(None, None, None)]"
['5-fu'],[],"[(None, None, None)]"
['phenytoin'],[],"[(None, None, None)]"
['tobramycin'],['tetany'],"[('tobramycin', 'tetany', np.float32(0.8454024))]"
"['carboplatin', 'paclitaxel']",['hypersensitivity'],"[('carboplatin', 'hypersensitivity', np.float32(0.7888252)), ('paclitaxel', 'hypersensitivity', np.float32(0.7118771))]"
"['lithium', 'olanzapine']",[],"[(None, None, None)]"
"['omeprazole', 'pantoprazole']",['peripheral edema'],"[('omeprazole', 'peripheral edema', np.float32(0.835143)), ('pantoprazole', 'peripheral edema', np.float32(0.8766072))]"
"['verapamil', 'diltiazem']","['atrial fibrillation', 'syncope']","[('verapamil', 'atrial fibrillation', np.float32(0.6895662)), ('verapamil', 'syncope', np.float32(0.9416518)), ('diltiazem', 'atrial fibrillation', np.float32(0.8045504)), ('diltiazem', 'syncope', np.float32(0.98354554))]"
['mtx'],"['gastric cancer', 'lpd']","[('mtx', 'gastric cancer', np.float32(0.70887494)), ('mtx', 'lpd', np.float32(0.7907628))]"
['tamoxifen'],['ovarian endometrioid carcinoma'],"[('tamoxifen', 'ovarian endometrioid carcinoma', np.float32(0.8411449))]"
['l-thyroxine'],['myocardial infarction'],"[('l-thyroxine', 'myocardial infarction', None)]"
['clofazimine'],[],"[(None, None, None)]"
['clinoril'],[],"[(None, None, None)]"
['lamotrigine'],['stupor'],"[('lamotrigine', 'stupor', np.float32(0.87822175))]"
['somatostatin'],['hypoglycemia'],"[('somatostatin', 'hypoglycemia', np.float32(0.89899814))]"
['metoclopramide'],[],"[(None, None, None)]"
"['haloperidol', 'lithium']",['irreversible tardive dyskinesia'],"[('haloperidol', 'irreversible tardive dyskinesia', np.float32(0.939699)), ('lithium', 'irreversible tardive dyskinesia', np.float32(0.79168326))]"
"['oxybutynin', 'dantrolene']",['carbamazepine toxicity'],"[('oxybutynin', 'carbamazepine toxicity', np.float32(0.86520624)), ('dantrolene', 'carbamazepine toxicity', np.float32(0.85146475))]"
['trastuzumab'],['life-threatening interstitial lung disease'],"[('trastuzumab', 'life-threatening interstitial lung disease', np.float32(0.7976685))]"
[],['mania'],"[(None, None, None)]"
['cyproterone acetate'],['hepatotoxicity'],"[('cyproterone acetate', 'hepatotoxicity', np.float32(0.7913611))]"
"['reserpine', 'barbiturates']",[],"[(None, None, None)]"
"['valproate', 'vpa']",['severe unilateral grand mal seizure'],"[('valproate', 'severe unilateral grand mal seizure', np.float32(0.89020425)), ('vpa', 'severe unilateral grand mal seizure', np.float32(0.7628604))]"
['phenobarbital'],[],"[(None, None, None)]"
['ferrous sulfate'],['hypothyroid'],"[('ferrous sulfate', 'hypothyroid', np.float32(0.9640008))]"
['gemcitabine'],['hus'],"[('gemcitabine', 'hus', np.float32(0.94996005))]"
"['cyclophosphamide', 'prednisolone']",['transient panhypogammaglobulinaemia'],"[('cyclophosphamide', 'transient panhypogammaglobulinaemia', np.float32(0.91091305)), ('prednisolone', 'transient panhypogammaglobulinaemia', np.float32(0.85405296))]"
['fludarabine'],['aiha'],"[('fludarabine', 'aiha', np.float32(0.91691154))]"
['ethambutol'],[],"[(None, None, None)]"
['mmc'],['hus'],"[('mmc', 'hus', np.float32(0.94211704))]"
['arsenic trioxide'],[],"[(None, None, None)]"
[],['lichen planus'],"[(None, None, None)]"
['gold'],['hypogammaglobulinemia'],"[('gold', 'hypogammaglobulinemia', np.float32(0.9662016))]"
[],['asthma'],"[(None, None, None)]"
[],['aplastic anemia'],"[(None, None, None)]"
"['methotrexate', 'mtx']",['accelerate hiv disease'],"[('methotrexate', 'accelerate hiv disease', np.float32(0.54006296)), ('mtx', 'accelerate hiv disease', np.float32(0.6588884))]"
['dipivefrin'],['cicatricial entropion'],"[('dipivefrin', 'cicatricial entropion', np.float32(0.99405426))]"
['gold'],"['acne', 'lichen planus']","[('gold', 'acne', np.float32(0.92975)), ('gold', 'lichen planus', np.float32(0.9552331))]"
['sodium nitroprusside'],"['transient leucopenia', 'thrombocytopenia']","[('sodium nitroprusside', 'transient leucopenia', np.float32(0.88796306)), ('sodium nitroprusside', 'thrombocytopenia', np.float32(0.6819972))]"
[],['bmtn'],"[(None, None, None)]"
"['sertraline', 'fluoxetine']",['extrapyramidal side effects'],"[('sertraline', 'extrapyramidal side effects', np.float32(0.71589714)), ('fluoxetine', 'extrapyramidal side effects', np.float32(0.81850296))]"
['sertraline'],[],"[(None, None, None)]"
['dofetilide'],['torsades de pointes'],"[('dofetilide', 'torsades de pointes', np.float32(0.76726675))]"
['bupropion'],['seizures'],"[('bupropion', 'seizures', np.float32(0.88765454))]"
['glatiramer acetate'],['ecm'],"[('glatiramer acetate', 'ecm', np.float32(0.96542287))]"
['fluoxetine'],[],"[(None, None, None)]"
['mitomycin-c'],['hemolytic uremic syndrome'],"[('mitomycin-c', 'hemolytic uremic syndrome', None)]"
['phenytoin'],['focal neurological deficit'],"[('phenytoin', 'focal neurological deficit', np.float32(0.8471725))]"
[],['anaphylaxis'],"[(None, None, None)]"
['methotrexate'],[],"[(None, None, None)]"
['bleomycin'],['acral vascular toxicity'],"[('bleomycin', 'acral vascular toxicity', np.float32(0.71998984))]"
['interferon beta-1b'],"['reticulate erythema', 'painful ulcers']","[('interferon beta-1b', 'reticulate erythema', np.float32(0.5116711)), ('interferon beta-1b', 'painful ulcers', np.float32(0.76862496))]"
['fluvoxamine'],['increased libido'],"[('fluvoxamine', 'increased libido', np.float32(0.90154994))]"
['olanzapine'],['sudden plms'],"[('olanzapine', 'sudden plms', np.float32(0.86557055))]"
['methotrexate'],[],"[(None, None, None)]"
"['carbamazepine', 'sodium valproate']",['psoriasiform eruption'],"[('carbamazepine', 'psoriasiform eruption', np.float32(0.75472456)), ('sodium valproate', 'psoriasiform eruption', np.float32(0.917103))]"
['phenytoin'],[],"[(None, None, None)]"
['pimozide'],['acute dystonic reaction'],"[('pimozide', 'acute dystonic reaction', np.float32(0.82949454))]"
['adrenaline'],['dilated cardiomyopathy'],"[('adrenaline', 'dilated cardiomyopathy', np.float32(0.93973434))]"
[],['hypercalcemia'],"[(None, None, None)]"
['cisplatin'],[],"[(None, None, None)]"
['fluoxetine'],['mania'],"[('fluoxetine', 'mania', np.float32(0.9762112))]"
['captopril'],['neutropenia'],"[('captopril', 'neutropenia', np.float32(0.9340696))]"
['fk506'],['rta'],"[('fk506', 'rta', np.float32(0.9923371))]"
['nitroglycerin'],[],"[(None, None, None)]"
['imatinib'],['ks'],"[('imatinib', 'ks', np.float32(0.95165306))]"
"['carbamazepine', 'ritonavir']",['clinical toxicity'],"[('carbamazepine', 'clinical toxicity', np.float32(0.74022096)), ('ritonavir', 'clinical toxicity', np.float32(0.8465638))]"
['cyclophosphamide'],"['neh', 'cutaneous vasculitis']","[('cyclophosphamide', 'neh', np.float32(0.91964465)), ('cyclophosphamide', 'cutaneous vasculitis', np.float32(0.7995524))]"
['imatinib'],['fatal venous thrombembolism'],"[('imatinib', 'fatal venous thrombembolism', np.float32(0.91089153))]"
['disulfiram'],['catatonia syndrome'],"[('disulfiram', 'catatonia syndrome', np.float32(0.76371145))]"
[],[],"[(None, None, None)]"
[],[],"[(None, None, None)]"
"['clarithromycin', 'azithromycin']",['rhabdomyolysis'],"[('clarithromycin', 'rhabdomyolysis', np.float32(0.84406954)), ('azithromycin', 'rhabdomyolysis', np.float32(0.9037487))]"
"['ara-c', 'mtx']",['death'],"[('ara-c', 'death', None), ('mtx', 'death', np.float32(0.86541355))]"
"['aspirin', 'clopidogrel']",[],"[(None, None, None)]"
['cytosine arabinoside'],['pseudobulbar palsy'],"[('cytosine arabinoside', 'pseudobulbar palsy', np.float32(0.75885135))]"
['cyclophosphamide'],['fibrosis'],"[('cyclophosphamide', 'fibrosis', np.float32(0.8016445))]"
[],['psychiatric side effects'],"[(None, None, None)]"
['fluoxetine'],[],"[(None, None, None)]"
['latanoprost'],['cystoid macula edema'],"[('latanoprost', 'cystoid macula edema', np.float32(0.96136594))]"
['prothipendylhydrochloride'],['priapism'],"[('prothipendylhydrochloride', 'priapism', np.float32(0.9236771))]"
[],[],"[(None, None, None)]"
['baclofen'],['withdrawal syndrome'],"[('baclofen', 'withdrawal syndrome', np.float32(0.8090667))]"
"['clarithromycin', 'carbamazepine']",[],"[(None, None, None)]"
['vasopressin'],['skeletal muscle ischemia'],"[('vasopressin', 'skeletal muscle ischemia', np.float32(0.9015343))]"
['ciprofloxacin'],"['vasculitis', 'hemorrhagic vasculitis']","[('ciprofloxacin', 'vasculitis', np.float32(0.9177924)), ('ciprofloxacin', 'hemorrhagic vasculitis', np.float32(0.94117826))]"
['gold-salt'],['autoimmune membranous nephropathy'],"[('gold-salt', 'autoimmune membranous nephropathy', None)]"
['rosiglitazone'],[],"[(None, None, None)]"
['paclitaxel'],['hypersensitivity'],"[('paclitaxel', 'hypersensitivity', np.float32(0.7118771))]"
['infliximab'],['agranulocytosis'],"[('infliximab', 'agranulocytosis', np.float32(0.8165007))]"
"['risperidone', 'quetiapine']",['diabetic ketoacidosis'],"[('risperidone', 'diabetic ketoacidosis', np.float32(0.78973526)), ('quetiapine', 'diabetic ketoacidosis', np.float32(0.9133907))]"
"['ara-c', 'cytarabine']",['herpesvirus infection'],"[('ara-c', 'herpesvirus infection', None), ('cytarabine', 'herpesvirus infection', np.float32(0.8247405))]"
['adalimumab'],['jaundice'],"[('adalimumab', 'jaundice', np.float32(0.77183515))]"
[],['rhabdomyolysis'],"[(None, None, None)]"
[],"['papular eruption', 'cutaneous vasculitis']","[(None, None, None)]"
['pancrease mt'],[],"[(None, None, None)]"
['minoxidil'],['myocardial infarction'],"[('minoxidil', 'myocardial infarction', np.float32(0.8231066))]"
"['25-hydroxyvitain d3', 'cholestyramine']",[],"[(None, None, None)]"
"['lamotrigine', 'valproic acid']",[],"[(None, None, None)]"
"['carbamazepine', 'cbz']",[],"[(None, None, None)]"
[],['toxic epidermal necrolysis'],"[(None, None, None)]"
['clindamycin'],['vanishing bile duct syndrome'],"[('clindamycin', 'vanishing bile duct syndrome', np.float32(0.79899323))]"
['trimethoprim-sulfamethoxazole'],[],"[(None, None, None)]"
['phenol'],['visual loss'],"[('phenol', 'visual loss', np.float32(0.9252171))]"
['cisplatin'],['c. difficile colitis'],"[('cisplatin', 'c. difficile colitis', np.float32(0.7834996))]"
"['carbamazepine', 'cbz']",[],"[(None, None, None)]"
"['pyrimethamine', 'sulfadiazine']",[],"[(None, None, None)]"
[],['oculogyric crisis'],"[(None, None, None)]"
['amiodarone'],['neuropathy'],"[('amiodarone', 'neuropathy', np.float32(0.68885523))]"
['clozapine'],"['sudden cardiac death', 'hypersensitivity myocarditis']","[('clozapine', 'sudden cardiac death', np.float32(0.75227445)), ('clozapine', 'hypersensitivity myocarditis', np.float32(0.6147364))]"
[],[],"[(None, None, None)]"
['cisplatin'],['anaphylactoid reactions'],"[('cisplatin', 'anaphylactoid reactions', np.float32(0.7643897))]"
[],"['leucopenia', 'thrombocytopenia']","[(None, None, None)]"
['garenoxacin'],['torsades de pointes'],"[('garenoxacin', 'torsades de pointes', np.float32(0.8417843))]"
[],['severe bleomycin lung toxicity'],"[(None, None, None)]"
['vasopressin'],['rhabdomyolysis'],"[('vasopressin', 'rhabdomyolysis', np.float32(0.7739259))]"
['lorcainide'],"['hypoosmolality', 'hyponatremia']","[('lorcainide', 'hypoosmolality', np.float32(0.9933987)), ('lorcainide', 'hyponatremia', np.float32(0.91007495))]"
"['fosamax', 'alendronate', 'fleet phospho-soda']",['hypocalcemic tetany'],"[('fosamax', 'hypocalcemic tetany', np.float32(0.9232979)), ('alendronate', 'hypocalcemic tetany', np.float32(0.9014673)), ('fleet phospho-soda', 'hypocalcemic tetany', np.float32(0.94122523))]"
['methotrexate'],[],"[(None, None, None)]"
"['theophylline', 'viloxazine']",['theophylline intoxication'],"[('theophylline', 'theophylline intoxication', np.float32(0.97197825)), ('viloxazine', 'theophylline intoxication', np.float32(0.9164133))]"
[],['cardiomyopathy'],"[(None, None, None)]"
[],['insomnia'],"[(None, None, None)]"
"['oxaprozin', 'naproxen']",['pseudoporphyria'],"[('oxaprozin', 'pseudoporphyria', np.float32(0.9102044)), ('naproxen', 'pseudoporphyria', np.float32(0.9462908))]"
['doxycycline'],"['aild', 'fever', 'generalized pruritic maculopapular eruption']","[('doxycycline', 'aild', np.float32(0.9426676)), ('doxycycline', 'fever', np.float32(0.6683613)), ('doxycycline', 'generalized pruritic maculopapular eruption', np.float32(0.9309959))]"
['gabapentin'],[],"[(None, None, None)]"
"['phenelzine', 'venlafaxine']",['serotonin syndrome'],"[('phenelzine', 'serotonin syndrome', np.float32(0.68479574)), ('venlafaxine', 'serotonin syndrome', np.float32(0.59972674))]"
"['aminotriazole', 'bromocil']",['generalized cutaneous sclerosis'],"[('aminotriazole', 'generalized cutaneous sclerosis', np.float32(0.8022007)), ('bromocil', 'generalized cutaneous sclerosis', np.float32(0.8391032))]"
['tobramycin'],[],"[(None, None, None)]"
['amphotericin b'],[],"[(None, None, None)]"
['olanzapine'],['atypical neuroleptic malignant syndrome'],"[('olanzapine', 'atypical neuroleptic malignant syndrome', np.float32(0.74338156))]"
['theophylline'],['gynecomastia'],"[('theophylline', 'gynecomastia', np.float32(0.93597215))]"
['methanol'],[],"[(None, None, None)]"
['bcg'],['osteomyelitis'],"[('bcg', 'osteomyelitis', np.float32(0.97524923))]"
"['methotrexate', 'mtx']",[],"[(None, None, None)]"
"['clarithromycin', 'carbamazepine']",['carbamazepine toxicity'],"[('clarithromycin', 'carbamazepine toxicity', np.float32(0.82749206)), ('carbamazepine', 'carbamazepine toxicity', np.float32(0.91367954))]"
['acyclovir'],['pleural effusion'],"[('acyclovir', 'pleural effusion', np.float32(0.80078334))]"
['taxol'],[],"[(None, None, None)]"
['amphotericin b'],[],"[(None, None, None)]"
"['valproic acid', 'ritonavir']",['bipolar disorder'],"[('valproic acid', 'bipolar disorder', np.float32(0.42522407)), ('ritonavir', 'bipolar disorder', np.float32(0.64468396))]"
"['ganciclovir', 'cidofovir']",['cmv infection'],"[('ganciclovir', 'cmv infection', np.float32(0.8728625)), ('cidofovir', 'cmv infection', np.float32(0.87779534))]"
"['vinblastine', 'bleomycin']",['gangrene'],"[('vinblastine', 'gangrene', np.float32(0.8963731)), ('bleomycin', 'gangrene', np.float32(0.9306828))]"
['serine'],['psychotic symptoms'],"[('serine', 'psychotic symptoms', np.float32(0.8128948))]"
['mtx'],[],"[(None, None, None)]"
"['venlafaxine', 'sertraline', 'metoclopramide']","['serotonin syndrome', 'extrapyramidal movement disorders']","[('venlafaxine', 'serotonin syndrome', np.float32(0.59972674)), ('venlafaxine', 'extrapyramidal movement disorders', np.float32(0.9443061)), ('sertraline', 'serotonin syndrome', np.float32(0.48957255)), ('sertraline', 'extrapyramidal movement disorders', np.float32(0.8481413)), ('metoclopramide', 'serotonin syndrome', np.float32(0.61013204)), ('metoclopramide', 'extrapyramidal movement disorders', np.float32(0.92137396))]"
['phenobarbital'],[],"[(None, None, None)]"
['trimethoprim-sulfamethoxazole'],[],"[(None, None, None)]"
['dipyridamole'],['high-grade atrioventricular block'],"[('dipyridamole', 'high-grade atrioventricular block', np.float32(0.9737768))]"
['prothrombin'],['myocardial infarction'],"[('prothrombin', 'myocardial infarction', np.float32(0.8247905))]"
[],['recall pneumonitis'],"[(None, None, None)]"
['tamoxifen'],['high-grade endometrial stromal sarcoma'],"[('tamoxifen', 'high-grade endometrial stromal sarcoma', np.float32(0.86753875))]"
"['cimetidine', 'tolazoline']",['upper gastrointestinal hemorrhage'],"[('cimetidine', 'upper gastrointestinal hemorrhage', np.float32(0.87216234)), ('tolazoline', 'upper gastrointestinal hemorrhage', np.float32(0.92060816))]"
['sulfadoxine-pyrimethamine'],['life-threatening hypoglycaemia'],"[('sulfadoxine-pyrimethamine', 'life-threatening hypoglycaemia', None)]"
"['risperidone', 'olanzapine']","['rls', 'akathisia']","[('risperidone', 'rls', np.float32(0.906712)), ('risperidone', 'akathisia', np.float32(0.9001647)), ('olanzapine', 'rls', np.float32(0.8465823)), ('olanzapine', 'akathisia', np.float32(0.8648377))]"
['risperidone'],[],"[(None, None, None)]"
['gefitinib'],['ild'],"[('gefitinib', 'ild', np.float32(0.9681508))]"
['mmc'],"['massive pulmonary bleeding', 'hus']","[('mmc', 'massive pulmonary bleeding', np.float32(0.85977197)), ('mmc', 'hus', np.float32(0.94211704))]"
"['amiodarone', 'quinidine']",['torsade de pointes'],"[('amiodarone', 'torsade de pointes', np.float32(0.59722716)), ('quinidine', 'torsade de pointes', np.float32(0.7910517))]"
"['carbamazepine', 'cbz', 'oxcarbazepine', 'oxc']",[],"[(None, None, None)]"
['calcineurin'],['severe aphthous stomatitis'],"[('calcineurin', 'severe aphthous stomatitis', np.float32(0.919874))]"
[],['tardive dyskinesia'],"[(None, None, None)]"
[],['visual field constriction'],"[(None, None, None)]"
['itraconazole'],[],"[(None, None, None)]"
['mmi'],['pancytopenia'],"[('mmi', 'pancytopenia', np.float32(0.7908635))]"
['methimazole'],['choanal atresia'],"[('methimazole', 'choanal atresia', np.float32(0.94040364))]"
['flucloxacillin'],['fatal hepatic injury'],"[('flucloxacillin', 'fatal hepatic injury', np.float32(0.80181885))]"
['disopyramide'],['fasting hypoglycemia'],"[('disopyramide', 'fasting hypoglycemia', np.float32(0.8317638))]"
[],['meningitis'],"[(None, None, None)]"
"['actinomycin-d', 'adriamycin', 'mithramycin']",['cardiomyopathy'],"[('actinomycin-d', 'cardiomyopathy', None), ('adriamycin', 'cardiomyopathy', np.float32(0.9298758)), ('mithramycin', 'cardiomyopathy', np.float32(0.88040406))]"
"['omeprazole', 'pantoprazole']",['pheripheral edema'],"[('omeprazole', 'pheripheral edema', np.float32(0.91310114)), ('pantoprazole', 'pheripheral edema', np.float32(0.9552037))]"
['vancomycin'],['anaphylaxis'],"[('vancomycin', 'anaphylaxis', np.float32(0.91849494))]"
['phenytoin'],"['hypersensitivity reactions', 'hepatitis', 'mononucleosis']","[('phenytoin', 'hypersensitivity reactions', np.float32(0.8598185)), ('phenytoin', 'hepatitis', np.float32(0.53327906)), ('phenytoin', 'mononucleosis', np.float32(0.80265355))]"
['insulin'],['rebound hyperglycemia'],"[('insulin', 'rebound hyperglycemia', np.float32(0.83913904))]"
[],[],"[(None, None, None)]"
[],['lichen planus pemphigoides'],"[(None, None, None)]"
['trazodone hydrochloride'],[],"[(None, None, None)]"
[],"['nms', 'ss']","[(None, None, None)]"
['bucillamine'],['gigantomastia'],"[('bucillamine', 'gigantomastia', np.float32(0.96565235))]"
['ampicillin'],[],"[(None, None, None)]"
['clozapine'],['tardive dyskinesia'],"[('clozapine', 'tardive dyskinesia', np.float32(0.74967355))]"
['vancomycin'],['agranulocytosis'],"[('vancomycin', 'agranulocytosis', np.float32(0.8829527))]"
['phenytoin'],[],"[(None, None, None)]"
['carmustine'],['myocardial ischemia'],"[('carmustine', 'myocardial ischemia', np.float32(0.89195526))]"
['colchicine'],[],"[(None, None, None)]"
['colchicine'],['pd'],"[('colchicine', 'pd', np.float32(0.9166391))]"
['insulin'],['hypoalbuminaemia'],"[('insulin', 'hypoalbuminaemia', np.float32(0.8655469))]"
[],['hyperammonemia'],"[(None, None, None)]"
['dscg'],['urticaria'],"[('dscg', 'urticaria', np.float32(0.9079886))]"
"['imiquimod', 'mxa']",['psoriasis'],"[('imiquimod', 'psoriasis', np.float32(0.86186564)), ('mxa', 'psoriasis', np.float32(0.7899257))]"
['amphotericin'],['cutaneous leucocytoclastic vasculitis'],"[('amphotericin', 'cutaneous leucocytoclastic vasculitis', np.float32(0.7629291))]"
[],['hyperammonemia'],"[(None, None, None)]"
['rifampin'],"['hepatitis', 'thrombocytopenia']","[('rifampin', 'hepatitis', np.float32(0.61189073)), ('rifampin', 'thrombocytopenia', np.float32(0.80848944))]"
['olanzapine'],[],"[(None, None, None)]"
"['methamphetamine', 'lidocaine']",['keratitis'],"[('methamphetamine', 'keratitis', np.float32(0.96580243)), ('lidocaine', 'keratitis', np.float32(0.96183723))]"
['carbamazepine'],[],"[(None, None, None)]"
"['cyclophosphamide', 'doxorubicin', 'prednisone', 'etoposide']",[],"[(None, None, None)]"
[],['respiratory distress syndrome'],"[(None, None, None)]"
[],['insomnia'],"[(None, None, None)]"
['anastrozole'],[],"[(None, None, None)]"
"['prochlorperazine', 'desferrioxamine']",[],"[(None, None, None)]"
['disulfiram'],['fulminant hepatitis'],"[('disulfiram', 'fulminant hepatitis', np.float32(0.8880788))]"
['lithium'],['ards'],"[('lithium', 'ards', np.float32(0.86713535))]"
['anastrozole'],[],"[(None, None, None)]"
"['amiodarone', 'quinidine']",['torsade de pointes'],"[('amiodarone', 'torsade de pointes', np.float32(0.59722716)), ('quinidine', 'torsade de pointes', np.float32(0.7910517))]"
['methotrexate'],[],"[(None, None, None)]"
[],[],"[(None, None, None)]"
['zonisamide'],[],"[(None, None, None)]"
['paclitaxel'],"['phantom limb pain', 'neurotoxicity']","[('paclitaxel', 'phantom limb pain', np.float32(0.68215585)), ('paclitaxel', 'neurotoxicity', np.float32(0.87496406))]"
['lithium'],['brain syndromes'],"[('lithium', 'brain syndromes', np.float32(0.78513837))]"
"['methylphenidate', 'diamorphine']",['ischaemia'],"[('methylphenidate', 'ischaemia', np.float32(0.95421106)), ('diamorphine', 'ischaemia', np.float32(0.98825115))]"
