text,drug,effect,indexes
"a case of anaphylactoid reaction due solely to the use of gelofusine in a patient with non-haemorrhagic hypovolaemia is presented, with a discussion on the management and the use of allergy identification jewellery",gelofusine,anaphylactoid reaction,"{'drug': {'start_char': array([58], dtype=int32), 'end_char': array([68], dtype=int32)}, 'effect': {'start_char': array([10], dtype=int32), 'end_char': array([32], dtype=int32)}}"
reversible posterior leukoencephalopathy syndrome in systemic lupus erythematosus with thrombocytopenia treated with cyclosporine,cyclosporine,reversible posterior leukoencephalopathy syndrome,"{'drug': {'start_char': array([117], dtype=int32), 'end_char': array([129], dtype=int32)}, 'effect': {'start_char': array([0], dtype=int32), 'end_char': array([49], dtype=int32)}}"
"this case suggests that bh-ac, a derivative of cytosine arabinoside (1-beta-d-arabinofuranosylcytosine) could be a cause of reversible encephalopathy syndrome",bh-ac,encephalopathy syndrome,"{'drug': {'start_char': array([24], dtype=int32), 'end_char': array([29], dtype=int32)}, 'effect': {'start_char': array([135], dtype=int32), 'end_char': array([158], dtype=int32)}}"
we describe a patient who experienced a lichenoid eruption after the initiation of salsalate for relief of arthritic pain,salsalate,lichenoid eruption,"{'drug': {'start_char': array([83], dtype=int32), 'end_char': array([92], dtype=int32)}, 'effect': {'start_char': array([40], dtype=int32), 'end_char': array([58], dtype=int32)}}"
acute myeloid leukemia evolving from essential thrombocythemia in two patients treated with hydroxyurea,hydroxyurea,acute myeloid leukemia,"{'drug': {'start_char': array([92], dtype=int32), 'end_char': array([103], dtype=int32)}, 'effect': {'start_char': array([0], dtype=int32), 'end_char': array([22], dtype=int32)}}"
dipyrone-induced granulocytopenia: a case for awareness,dipyrone,granulocytopenia,"{'drug': {'start_char': array([0], dtype=int32), 'end_char': array([8], dtype=int32)}, 'effect': {'start_char': array([17], dtype=int32), 'end_char': array([33], dtype=int32)}}"
minocycline as a cause of drug-induced autoimmune hepatitis,minocycline,autoimmune hepatitis,"{'drug': {'start_char': array([0], dtype=int32), 'end_char': array([11], dtype=int32)}, 'effect': {'start_char': array([39], dtype=int32), 'end_char': array([59], dtype=int32)}}"
"because of serious side effects of an increase in the qt interval causing torsades de pointes, dofetilide must be initiated with close monitoring of the qt interval in an inpatient setting",dofetilide,torsades de pointes,"{'drug': {'start_char': array([95], dtype=int32), 'end_char': array([105], dtype=int32)}, 'effect': {'start_char': array([74], dtype=int32), 'end_char': array([93], dtype=int32)}}"
we report the case of a 21-year-old female patient with dapsone hypersensitivity syndrome,dapsone,hypersensitivity syndrome,"{'drug': {'start_char': array([56], dtype=int32), 'end_char': array([63], dtype=int32)}, 'effect': {'start_char': array([64], dtype=int32), 'end_char': array([89], dtype=int32)}}"
"iatrogenic hypercalcemia due to vitamin d3 ointment (1,24(oh)2d3) combined with thiazide diuretics in a case of psoriasis","1,24(oh)2d3",hypercalcemia,"{'drug': {'start_char': array([], dtype=int32), 'end_char': array([], dtype=int32)}, 'effect': {'start_char': array([11], dtype=int32), 'end_char': array([24], dtype=int32)}}"
this case report describes an adolescent with severe lupus erythematosus who received cyclophosphamide (cy) paired with taste (cod liver oil) and smell (rose perfume) as conditioned stimuli,cyclophosphamide,severe lupus erythematosus,"{'drug': {'start_char': array([86], dtype=int32), 'end_char': array([102], dtype=int32)}, 'effect': {'start_char': array([46], dtype=int32), 'end_char': array([72], dtype=int32)}}"
visceral herpesvirus infections in leukemic patients receiving cytarabine,cytarabine,visceral herpesvirus infections,"{'drug': {'start_char': array([63], dtype=int32), 'end_char': array([73], dtype=int32)}, 'effect': {'start_char': array([0], dtype=int32), 'end_char': array([31], dtype=int32)}}"
"focal glomerulonephritis and interstitial nephritis in methicillin-treated, heroin-related infective endocarditis",methicillin,interstitial nephritis,"{'drug': {'start_char': array([55], dtype=int32), 'end_char': array([66], dtype=int32)}, 'effect': {'start_char': array([29], dtype=int32), 'end_char': array([51], dtype=int32)}}"
"the case reported here is of a child given a large dose of intravenous iron sucrose (16 mg/kg) over 3 hours, who subsequently developed features of systemic iron toxicity",iron sucrose,systemic iron toxicity,"{'drug': {'start_char': array([71], dtype=int32), 'end_char': array([83], dtype=int32)}, 'effect': {'start_char': array([148], dtype=int32), 'end_char': array([170], dtype=int32)}}"
interferon-alpha (ifn-alpha) may precipitate or exacerbate the occurrence of mpgn,ifn-alpha,mpgn,"{'drug': {'start_char': array([18], dtype=int32), 'end_char': array([27], dtype=int32)}, 'effect': {'start_char': array([77], dtype=int32), 'end_char': array([81], dtype=int32)}}"
"to the best of our knowledge, this is the first reported patient with captopril-induced pemphigus in whom no new lesions developed after subsequent treatment with enalapril",captopril,pemphigus,"{'drug': {'start_char': array([70], dtype=int32), 'end_char': array([79], dtype=int32)}, 'effect': {'start_char': array([88], dtype=int32), 'end_char': array([97], dtype=int32)}}"
our experience supports hemodialysis for esrf patients with atenolol toxicity,atenolol,atenolol toxicity,"{'drug': {'start_char': array([60], dtype=int32), 'end_char': array([68], dtype=int32)}, 'effect': {'start_char': array([60], dtype=int32), 'end_char': array([77], dtype=int32)}}"
lower extremity arterial insufficiency after long-term methysergide maleate therapy,methysergide maleate,arterial insufficiency,"{'drug': {'start_char': array([55], dtype=int32), 'end_char': array([75], dtype=int32)}, 'effect': {'start_char': array([16], dtype=int32), 'end_char': array([38], dtype=int32)}}"
ciprofloxacin-induced hemorrhagic vasculitis is a rare side effect,ciprofloxacin,hemorrhagic vasculitis,"{'drug': {'start_char': array([0], dtype=int32), 'end_char': array([13], dtype=int32)}, 'effect': {'start_char': array([22], dtype=int32), 'end_char': array([44], dtype=int32)}}"
"we describe the side effects of 5-fu in a colon cancer patient who suffered severe mucositis, desquamating dermatitis, prolonged myelosuppression, and neurologic toxicity that required admission to the intensive care unit",5-fu,severe mucositis,"{'drug': {'start_char': array([32], dtype=int32), 'end_char': array([36], dtype=int32)}, 'effect': {'start_char': array([76], dtype=int32), 'end_char': array([92], dtype=int32)}}"
"the possibility of phenytoin hypersensitivity reactions should be considered when patients receiving phenytoin have unusual symptoms, particularly fever, rash, and lymphadenopathy",phenytoin,lymphadenopathy,"{'drug': {'start_char': array([ 19, 101], dtype=int32), 'end_char': array([ 28, 110], dtype=int32)}, 'effect': {'start_char': array([164], dtype=int32), 'end_char': array([179], dtype=int32)}}"
tetany in a child with aids receiving intravenous tobramycin,tobramycin,tetany,"{'drug': {'start_char': array([50], dtype=int32), 'end_char': array([60], dtype=int32)}, 'effect': {'start_char': array([0], dtype=int32), 'end_char': array([6], dtype=int32)}}"
carboplatin hypersensitivity induced by low-dose paclitaxel/carboplatin in multiple platinum-treated patients with recurrent ovarian cancer,carboplatin,hypersensitivity,"{'drug': {'start_char': array([0], dtype=int32), 'end_char': array([11], dtype=int32)}, 'effect': {'start_char': array([12], dtype=int32), 'end_char': array([28], dtype=int32)}}"
"a 16-year-old boy developed fever, generalized rigidity, leukocytosis, and increased serum transaminase and creatine kinase levels while receiving treatment with olanzapine and lithium",lithium,fever,"{'drug': {'start_char': array([177], dtype=int32), 'end_char': array([184], dtype=int32)}, 'effect': {'start_char': array([28], dtype=int32), 'end_char': array([33], dtype=int32)}}"
"during dose-finding studies for intravenous proton pump inhibitors omeprazole and pantoprazole, three of six young female volunteers receiving omeprazole and two young female volunteers receiving pantoprazole developed peripheral edema within 8 hr when high doses of the proton pump inhibitors were applied by continuous infusion together with large volumes of fluid",pantoprazole,peripheral edema,"{'drug': {'start_char': array([ 82, 196], dtype=int32), 'end_char': array([ 94, 208], dtype=int32)}, 'effect': {'start_char': array([219], dtype=int32), 'end_char': array([235], dtype=int32)}}"
atrial fibrillation was induced by diltiazem in two patients and verapamil induced syncope in one patient,verapamil,syncope,"{'drug': {'start_char': array([65], dtype=int32), 'end_char': array([74], dtype=int32)}, 'effect': {'start_char': array([83], dtype=int32), 'end_char': array([90], dtype=int32)}}"
increased awareness is needed on the possible occurrence of lpd resembling gastric cancer in rheumatoid arthritis patients treated with mtx,mtx,lpd,"{'drug': {'start_char': array([136], dtype=int32), 'end_char': array([139], dtype=int32)}, 'effect': {'start_char': array([60], dtype=int32), 'end_char': array([63], dtype=int32)}}"
the association with prolonged unopposed estrogen-like stimulation with tamoxifen as a possible factor in the development of ovarian endometrioid carcinoma is discussed,tamoxifen,ovarian endometrioid carcinoma,"{'drug': {'start_char': array([72], dtype=int32), 'end_char': array([81], dtype=int32)}, 'effect': {'start_char': array([125], dtype=int32), 'end_char': array([155], dtype=int32)}}"
"we believe this is the first report of myocardial infarction due to coronary spasm, demonstrated by angiography associated with l-thyroxine therapy",l-thyroxine,myocardial infarction,"{'drug': {'start_char': array([128], dtype=int32), 'end_char': array([139], dtype=int32)}, 'effect': {'start_char': array([39], dtype=int32), 'end_char': array([60], dtype=int32)}}"
"two cases of lepromatous leprosy with erythema nodosum leprosum who were on high doses of clofazimine, showed discoloration of nail plate, subungual hyperkeratosis and onycholysis",clofazimine,subungual hyperkeratosis,"{'drug': {'start_char': array([90], dtype=int32), 'end_char': array([101], dtype=int32)}, 'effect': {'start_char': array([139], dtype=int32), 'end_char': array([163], dtype=int32)}}"
"sulindac (clinoril), a nonsteroidal anti-inflammatory agent, has few reported neurologic toxic effects, all of which have been associated with systemic disease",sulindac,neurologic toxic effects,"{'drug': {'start_char': array([0], dtype=int32), 'end_char': array([8], dtype=int32)}, 'effect': {'start_char': array([78], dtype=int32), 'end_char': array([102], dtype=int32)}}"
stupor from lamotrigine toxicity,lamotrigine,stupor,"{'drug': {'start_char': array([12], dtype=int32), 'end_char': array([23], dtype=int32)}, 'effect': {'start_char': array([0], dtype=int32), 'end_char': array([6], dtype=int32)}}"
hypoglycemia induced by long-acting somatostatin analogues in a patient with nonfunctional neuroendocrine tumor,somatostatin,hypoglycemia,"{'drug': {'start_char': array([36], dtype=int32), 'end_char': array([48], dtype=int32)}, 'effect': {'start_char': array([0], dtype=int32), 'end_char': array([12], dtype=int32)}}"
"after a second dose of metoclopramide, these symptoms recurred and were associated with confusion, agitation, fever, diaphoresis, tachypnea, tachycardia, and hypertension",metoclopramide,tachycardia,"{'drug': {'start_char': array([23], dtype=int32), 'end_char': array([37], dtype=int32)}, 'effect': {'start_char': array([141], dtype=int32), 'end_char': array([152], dtype=int32)}}"
"the authors describe a case of combined lithium and haloperidol toxicity characterized by hyperpyrexia, severe rigidity, mutism, and development of irreversible tardive dyskinesia",lithium,mutism,"{'drug': {'start_char': array([40], dtype=int32), 'end_char': array([47], dtype=int32)}, 'effect': {'start_char': array([121], dtype=int32), 'end_char': array([127], dtype=int32)}}"
carbamazepine toxicity following oxybutynin and dantrolene administration: a case report,oxybutynin,carbamazepine toxicity,"{'drug': {'start_char': array([33], dtype=int32), 'end_char': array([43], dtype=int32)}, 'effect': {'start_char': array([0], dtype=int32), 'end_char': array([22], dtype=int32)}}"
life-threatening interstitial lung disease associated with trastuzumab: case report,trastuzumab,interstitial lung disease,"{'drug': {'start_char': array([59], dtype=int32), 'end_char': array([70], dtype=int32)}, 'effect': {'start_char': array([17], dtype=int32), 'end_char': array([42], dtype=int32)}}"
alprazolam-induced mania: two clinical cases,alprazolam,mania,"{'drug': {'start_char': array([0], dtype=int32), 'end_char': array([10], dtype=int32)}, 'effect': {'start_char': array([19], dtype=int32), 'end_char': array([24], dtype=int32)}}"
hepatotoxicity induced by cyproterone acetate: a report of three cases,cyproterone acetate,hepatotoxicity,"{'drug': {'start_char': array([26], dtype=int32), 'end_char': array([45], dtype=int32)}, 'effect': {'start_char': array([0], dtype=int32), 'end_char': array([14], dtype=int32)}}"
"finally, reserpine toxicity, in particular central nervous system (cns) disturbances, was reported more frequently in patients also receiving barbiturates, suggesting additive cns effects",reserpine,reserpine toxicity,"{'drug': {'start_char': array([9], dtype=int32), 'end_char': array([18], dtype=int32)}, 'effect': {'start_char': array([9], dtype=int32), 'end_char': array([27], dtype=int32)}}"
"a 7-year-old boy developed a severe unilateral grand mal seizure at the age of 5 years (phenobarbitone therapy); 1.5 years later valproate (2-propylpentanoic acid, vpa) was added to the therapy",vpa,severe unilateral grand mal seizure,"{'drug': {'start_char': array([164], dtype=int32), 'end_char': array([167], dtype=int32)}, 'effect': {'start_char': array([29], dtype=int32), 'end_char': array([64], dtype=int32)}}"
"a child in whom a phenobarbital hypersensitivity drug reaction developed which consisted of fever, a pruritic desquamating erythrodermic rash, alopecia, icterus, protein-losing enteropathy, myositis, and nephritis, is described",phenobarbital,myositis,"{'drug': {'start_char': array([18], dtype=int32), 'end_char': array([31], dtype=int32)}, 'effect': {'start_char': array([190], dtype=int32), 'end_char': array([198], dtype=int32)}}"
we describe a patient who became hypothyroid while taking ferrous sulfate,ferrous sulfate,hypothyroid,"{'drug': {'start_char': array([58], dtype=int32), 'end_char': array([73], dtype=int32)}, 'effect': {'start_char': array([33], dtype=int32), 'end_char': array([44], dtype=int32)}}"
methods: a case is presented of a 45-year-old woman on prolonged gemcitabine treatment for ovarian cancer who developed hus and recovered after drug discontinuation,gemcitabine,hus,"{'drug': {'start_char': array([65], dtype=int32), 'end_char': array([76], dtype=int32)}, 'effect': {'start_char': array([120], dtype=int32), 'end_char': array([123], dtype=int32)}}"
we observed transient panhypogammaglobulinaemia in a patient with neuropsychiatric sle after treatment with prednisolone and cyclophosphamide,cyclophosphamide,panhypogammaglobulinaemia,"{'drug': {'start_char': array([125], dtype=int32), 'end_char': array([141], dtype=int32)}, 'effect': {'start_char': array([22], dtype=int32), 'end_char': array([47], dtype=int32)}}"
"physicians should be aware of the risk of severe aiha in cll patients with a history of aiha or positivation of the dat during previous fludarabine administration, or in case of secondary fixation of complement to the red cell membrane occurring during fludarabine treatment",fludarabine,positivation of the dat,"{'drug': {'start_char': array([136, 253], dtype=int32), 'end_char': array([147, 264], dtype=int32)}, 'effect': {'start_char': array([96], dtype=int32), 'end_char': array([119], dtype=int32)}}"
these are the first reported patients to show mferg abnormalities that correspond to bitemporal visual field defects and add to the growing evidence that ethambutol damages the retina,ethambutol,mferg abnormalities,"{'drug': {'start_char': array([154], dtype=int32), 'end_char': array([164], dtype=int32)}, 'effect': {'start_char': array([46], dtype=int32), 'end_char': array([65], dtype=int32)}}"
"pulmonary hemorrhage is an uncommon feature in the hus, and seems to appear especially in the hus associated with mmc therapy",mmc,hus,"{'drug': {'start_char': array([114], dtype=int32), 'end_char': array([117], dtype=int32)}, 'effect': {'start_char': array([51, 94], dtype=int32), 'end_char': array([54, 97], dtype=int32)}}"
"during the first days of arsenic trioxide treatment a rapid decrease in the d-dimers was seen (normal values reached until day 7), together with a slight decrease in peripheral blood leukocytes",arsenic trioxide,slight decrease in peripheral blood leukocytes,"{'drug': {'start_char': array([25], dtype=int32), 'end_char': array([41], dtype=int32)}, 'effect': {'start_char': array([147], dtype=int32), 'end_char': array([193], dtype=int32)}}"
lichen planus induced by hepatitis b vaccination: a new case and review of the literature,hepatitis b vaccination,lichen planus,"{'drug': {'start_char': array([25], dtype=int32), 'end_char': array([48], dtype=int32)}, 'effect': {'start_char': array([0], dtype=int32), 'end_char': array([13], dtype=int32)}}"
hypogammaglobulinemia associated with gold therapy: evidence for a partial maturation blockade of b cells,gold,hypogammaglobulinemia,"{'drug': {'start_char': array([38], dtype=int32), 'end_char': array([42], dtype=int32)}, 'effect': {'start_char': array([0], dtype=int32), 'end_char': array([21], dtype=int32)}}"
detection of activated eosinophils in nasal polyps of an aspirin-induced asthma patient,aspirin,asthma,"{'drug': {'start_char': array([57], dtype=int32), 'end_char': array([64], dtype=int32)}, 'effect': {'start_char': array([73], dtype=int32), 'end_char': array([79], dtype=int32)}}"
gold-induced aplastic anemia,gold,aplastic anemia,"{'drug': {'start_char': array([0], dtype=int32), 'end_char': array([4], dtype=int32)}, 'effect': {'start_char': array([13], dtype=int32), 'end_char': array([28], dtype=int32)}}"
the use of methotrexate (mtx) has been contraindicated for treatment of severe psoriasis in hiv infection on the basis of six previously reported cases in which mtx appeared to potentiate opportunistic infections and accelerate hiv disease,mtx,accelerate hiv disease,"{'drug': {'start_char': array([ 25, 161], dtype=int32), 'end_char': array([ 28, 164], dtype=int32)}, 'effect': {'start_char': array([217], dtype=int32), 'end_char': array([239], dtype=int32)}}"
"nine eyes from 6 patients, 74 years to 90 years of age, referred by ophthalmologists for repair of cicatricial entropion after at least 2 years of twice-a-day application of dipivefrin",dipivefrin,cicatricial entropion,"{'drug': {'start_char': array([174], dtype=int32), 'end_char': array([184], dtype=int32)}, 'effect': {'start_char': array([99], dtype=int32), 'end_char': array([120], dtype=int32)}}"
lichen planus and acne provoked by gold,gold,lichen planus,"{'drug': {'start_char': array([35], dtype=int32), 'end_char': array([39], dtype=int32)}, 'effect': {'start_char': array([0], dtype=int32), 'end_char': array([13], dtype=int32)}}"
transient leucopenia and thrombocytopenia associated with sodium nitroprusside infusion,sodium nitroprusside,thrombocytopenia,"{'drug': {'start_char': array([58], dtype=int32), 'end_char': array([78], dtype=int32)}, 'effect': {'start_char': array([25], dtype=int32), 'end_char': array([41], dtype=int32)}}"
the occurrence of bmtn in two children treated with ra in our unit is unlikely to be coincidental,ra,bmtn,"{'drug': {'start_char': array([52], dtype=int32), 'end_char': array([54], dtype=int32)}, 'effect': {'start_char': array([18], dtype=int32), 'end_char': array([22], dtype=int32)}}"
"extrapyramidal side effects induced by some selective serotonin reuptake inhibitors (ssris), i.e. fluoxetine and sertraline, have been previously reported in patients with depression and obsessive-compulsive disorder (ocd",sertraline,extrapyramidal side effects,"{'drug': {'start_char': array([113], dtype=int32), 'end_char': array([123], dtype=int32)}, 'effect': {'start_char': array([0], dtype=int32), 'end_char': array([27], dtype=int32)}}"
"in case 1, a total daily dose of 25 mg sertraline, with nondetectable sertraline and desmethylsertraline blood levels, resulted in a doubling of the lamotrigine blood level with symptoms of toxicity",sertraline,symptoms of toxicity,"{'drug': {'start_char': array([39, 70, 94], dtype=int32), 'end_char': array([ 49,  80, 104], dtype=int32)}, 'effect': {'start_char': array([178], dtype=int32), 'end_char': array([198], dtype=int32)}}"
"because of serious side effects of an increase in the qt interval causing torsades de pointes, dofetilide must be initiated with close monitoring of the qt interval in an inpatient setting",dofetilide,increase in the qt interval,"{'drug': {'start_char': array([95], dtype=int32), 'end_char': array([105], dtype=int32)}, 'effect': {'start_char': array([38], dtype=int32), 'end_char': array([65], dtype=int32)}}"
"the patient experienced hallucinations, agitation, vomiting, tachycardia and seizures after ingestion of 1050 (48 mg/kg) of extended-release bupropion",bupropion,vomiting,"{'drug': {'start_char': array([141], dtype=int32), 'end_char': array([150], dtype=int32)}, 'effect': {'start_char': array([51], dtype=int32), 'end_char': array([59], dtype=int32)}}"
a patient developed typical ecm after subcutaneous selfinjection of glatiramer acetate for multiple sclerosis,glatiramer acetate,ecm,"{'drug': {'start_char': array([68], dtype=int32), 'end_char': array([86], dtype=int32)}, 'effect': {'start_char': array([28], dtype=int32), 'end_char': array([31], dtype=int32)}}"
prominent eye movements during nrem sleep and rem sleep behavior disorder associated with fluoxetine treatment of depression and obsessive-compulsive disorder,fluoxetine,rem sleep behavior disorder,"{'drug': {'start_char': array([90], dtype=int32), 'end_char': array([100], dtype=int32)}, 'effect': {'start_char': array([46], dtype=int32), 'end_char': array([73], dtype=int32)}}"
mitomycin-c is used widely in the treatment of malignancies and is associated with serious dose related adverse effects including the occurrence of hemolytic uremic syndrome,mitomycin-c,hemolytic uremic syndrome,"{'drug': {'start_char': array([0], dtype=int32), 'end_char': array([11], dtype=int32)}, 'effect': {'start_char': array([148], dtype=int32), 'end_char': array([173], dtype=int32)}}"
a possible mechanism for focal neurological deficit in brain-damaged patients on phenytoin therapy is discussed,phenytoin,focal neurological deficit,"{'drug': {'start_char': array([81], dtype=int32), 'end_char': array([90], dtype=int32)}, 'effect': {'start_char': array([25], dtype=int32), 'end_char': array([51], dtype=int32)}}"
"thus, we confirm that desensitization may be a safe procedure in patients with cancer who experience methotrexate-induced anaphylaxis",methotrexate,anaphylaxis,"{'drug': {'start_char': array([101], dtype=int32), 'end_char': array([113], dtype=int32)}, 'effect': {'start_char': array([122], dtype=int32), 'end_char': array([133], dtype=int32)}}"
"conversely, diffuse interstitial pulmonary fibrosis should be considered in the differential diagnosis of patients receiving methotrexate who develop bilateral pulmonary infiltrates seen on chest roentgenograms",methotrexate,diffuse interstitial pulmonary fibrosis,"{'drug': {'start_char': array([125], dtype=int32), 'end_char': array([137], dtype=int32)}, 'effect': {'start_char': array([12], dtype=int32), 'end_char': array([51], dtype=int32)}}"
this supports the well-reported potential of bleomycin to trigger acral vascular toxicity,bleomycin,acral vascular toxicity,"{'drug': {'start_char': array([45], dtype=int32), 'end_char': array([54], dtype=int32)}, 'effect': {'start_char': array([66], dtype=int32), 'end_char': array([89], dtype=int32)}}"
46-year-old woman developed painful ulcers over her lower abdomen in the form of reticulate erythema after injecting interferon beta-1b subcutaneously for multiple sclerosis,interferon beta-1b,reticulate erythema,"{'drug': {'start_char': array([117], dtype=int32), 'end_char': array([135], dtype=int32)}, 'effect': {'start_char': array([81], dtype=int32), 'end_char': array([100], dtype=int32)}}"
conclusion: the present findings suggest that fluvoxamine can cause increased libido in some patients,fluvoxamine,increased libido,"{'drug': {'start_char': array([46], dtype=int32), 'end_char': array([57], dtype=int32)}, 'effect': {'start_char': array([68], dtype=int32), 'end_char': array([84], dtype=int32)}}"
the second patient exhibited sudden plms following olanzapine injection,olanzapine,plms,"{'drug': {'start_char': array([51], dtype=int32), 'end_char': array([61], dtype=int32)}, 'effect': {'start_char': array([36], dtype=int32), 'end_char': array([40], dtype=int32)}}"
methotrexate is an effective but potentially toxic treatment for psoriasis,methotrexate,potentially toxic,"{'drug': {'start_char': array([0], dtype=int32), 'end_char': array([12], dtype=int32)}, 'effect': {'start_char': array([33], dtype=int32), 'end_char': array([50], dtype=int32)}}"
we present findings from three patients who experienced a psoriasiform eruption apparently due to the antiepileptic agents sodium valproate and carbamazepine,sodium valproate,psoriasiform eruption,"{'drug': {'start_char': array([123], dtype=int32), 'end_char': array([139], dtype=int32)}, 'effect': {'start_char': array([58], dtype=int32), 'end_char': array([79], dtype=int32)}}"
"phenytoin was discontinued after admission; however, phenytoin 1 g i.v. was given for a tonic-clonic seizure two days after admission, after which swelling of the face and legs and pruritus developed",phenytoin,pruritus,"{'drug': {'start_char': array([53], dtype=int32), 'end_char': array([62], dtype=int32)}, 'effect': {'start_char': array([181], dtype=int32), 'end_char': array([189], dtype=int32)}}"
acute dystonic reaction with low-dose pimozide,pimozide,acute dystonic reaction,"{'drug': {'start_char': array([38], dtype=int32), 'end_char': array([46], dtype=int32)}, 'effect': {'start_char': array([0], dtype=int32), 'end_char': array([23], dtype=int32)}}"
dilated cardiomyopathy associated with chronic overuse of an adrenaline inhaler,adrenaline,dilated cardiomyopathy,"{'drug': {'start_char': array([61], dtype=int32), 'end_char': array([71], dtype=int32)}, 'effect': {'start_char': array([0], dtype=int32), 'end_char': array([22], dtype=int32)}}"
hypercalcemia in an aids patient treated with growth hormone,growth hormone,hypercalcemia,"{'drug': {'start_char': array([46], dtype=int32), 'end_char': array([60], dtype=int32)}, 'effect': {'start_char': array([0], dtype=int32), 'end_char': array([13], dtype=int32)}}"
syndrome of inappropriate secretion of adh (siadh) following cisplatin administration in a pulmonary adenocarcinoma patient with a malignant pleural effusion,cisplatin,syndrome of inappropriate secretion of adh,"{'drug': {'start_char': array([61], dtype=int32), 'end_char': array([70], dtype=int32)}, 'effect': {'start_char': array([0], dtype=int32), 'end_char': array([42], dtype=int32)}}"
a case of mania associated with fluoxetine,fluoxetine,mania,"{'drug': {'start_char': array([32], dtype=int32), 'end_char': array([42], dtype=int32)}, 'effect': {'start_char': array([10], dtype=int32), 'end_char': array([15], dtype=int32)}}"
we report two cases of neutropenia following captopril use in cardiac patients with trisomy 21,captopril,neutropenia,"{'drug': {'start_char': array([45], dtype=int32), 'end_char': array([54], dtype=int32)}, 'effect': {'start_char': array([23], dtype=int32), 'end_char': array([34], dtype=int32)}}"
"the treatment for acidosis and hyperkalaemia should be started as soon as rta is diagnosed, and the dosage of fk506 should also be reduced if possible",fk506,rta,"{'drug': {'start_char': array([110], dtype=int32), 'end_char': array([115], dtype=int32)}, 'effect': {'start_char': array([74], dtype=int32), 'end_char': array([77], dtype=int32)}}"
this case report illustrates the use of continuous high-dose intracoronary nitroglycerin infusion through a 6 french coronary guiding catheter in the treatment of a patient with cocaine-induced refractory coronary vasospasm,cocaine,refractory coronary vasospasm,"{'drug': {'start_char': array([178], dtype=int32), 'end_char': array([185], dtype=int32)}, 'effect': {'start_char': array([194], dtype=int32), 'end_char': array([223], dtype=int32)}}"
conclusions: we present a case of a patient with cml who developed ks 12 months after starting treatment with imatinib 400 mg/d,imatinib,ks,"{'drug': {'start_char': array([110], dtype=int32), 'end_char': array([118], dtype=int32)}, 'effect': {'start_char': array([67], dtype=int32), 'end_char': array([69], dtype=int32)}}"
"ritonavir acted as a cyp3a4 inhibitor, diminishing carbamazepine metabolism and provoking an increase in serum levels and clinical toxicity",ritonavir,increase in serum levels,"{'drug': {'start_char': array([0], dtype=int32), 'end_char': array([9], dtype=int32)}, 'effect': {'start_char': array([93], dtype=int32), 'end_char': array([117], dtype=int32)}}"
we report a case of neh masquerading as cutaneous vasculitis in a woman receiving cyclophosphamide for lupus nephritis,cyclophosphamide,neh,"{'drug': {'start_char': array([82], dtype=int32), 'end_char': array([98], dtype=int32)}, 'effect': {'start_char': array([20], dtype=int32), 'end_char': array([23], dtype=int32)}}"
fatal venous thrombembolism complicating imatinib therapy in a patient with metastatic gastrointestinal stromal tumor,imatinib,fatal venous thrombembolism,"{'drug': {'start_char': array([41], dtype=int32), 'end_char': array([49], dtype=int32)}, 'effect': {'start_char': array([0], dtype=int32), 'end_char': array([27], dtype=int32)}}"
the authors describe a case of the catatonia syndrome associated with disulfiram therapy,disulfiram,catatonia syndrome,"{'drug': {'start_char': array([70], dtype=int32), 'end_char': array([80], dtype=int32)}, 'effect': {'start_char': array([35], dtype=int32), 'end_char': array([53], dtype=int32)}}"
"a 27-year-old man who had a history of bronchial asthma, eosinophilic enteritis, and eosinophilic pneumonia presented with fever, skin eruptions, cervical lymphadenopathy, hepatosplenomegaly, atypical lymphocytosis, and eosinophilia two weeks after receiving trimethoprim (tmp)-sulfamethoxazole (smx) treatment",sulfamethoxazole,fever,"{'drug': {'start_char': array([278], dtype=int32), 'end_char': array([294], dtype=int32)}, 'effect': {'start_char': array([123], dtype=int32), 'end_char': array([128], dtype=int32)}}"
"animals treated with hal showed a highly significant 32%-46% loss of tyrosine hydroxylase (th) immunoreactive neurons in the substantia nigra, and 20% contraction of the th stained dendritic arbour",hal,significant 32%-46% loss of tyrosine hydroxylase (th) immunoreactive neurons,"{'drug': {'start_char': array([21], dtype=int32), 'end_char': array([24], dtype=int32)}, 'effect': {'start_char': array([], dtype=int32), 'end_char': array([], dtype=int32)}}"
"to our knowledge, these cases are the first published reports of lovastatin-induced rhabdomyolysis associated with azithromycin and clarithromycin",lovastatin,rhabdomyolysis,"{'drug': {'start_char': array([65], dtype=int32), 'end_char': array([75], dtype=int32)}, 'effect': {'start_char': array([84], dtype=int32), 'end_char': array([98], dtype=int32)}}"
despite a response of the meningeal tumor the patient developed in the third week of mtx treatment a progressive visual loss and loss of consciousness which worsened during subsequent ara-c treatment and led to death within 3 weeks,mtx,loss of consciousness,"{'drug': {'start_char': array([85], dtype=int32), 'end_char': array([88], dtype=int32)}, 'effect': {'start_char': array([129], dtype=int32), 'end_char': array([150], dtype=int32)}}"
a 64 year old woman with previous history of coronary stenting five days before was admitted in our institution for intracranial bleeding while receiving aspirin and clopidogrel,aspirin,intracranial bleeding,"{'drug': {'start_char': array([154], dtype=int32), 'end_char': array([161], dtype=int32)}, 'effect': {'start_char': array([116], dtype=int32), 'end_char': array([137], dtype=int32)}}"
